par_names,par_names_save,par_file,par_init,par_init_lowerbound,par_init_upperbound,par_lowerbound,par_upperbound,inflat_pars,perturb_par,par_units,model
sediment/sed_temp_mean,zone1temp,glm3.nml,12,10,12,-100,100,1.1,1.0,deg_C, GLM
sediment/sed_temp_mean,zone2temp,glm3.nml,15,12,16,-100,100,1.1,1.0,deg_C, GLM
meteorology/sw_factor,lw_factor,glm3.nml,1,0.9,1.1,-10,10,2,0.02,unitless, GLM
surface/meteo/swr/scale_factor,swr_scale_factor,gotm.yaml,1.00E+00,5.00E-01,1.50E+00,1.00E-01,2.00E+00,1.04E+00,0.02,unitless,GOTM
ModelParameters/p_sw_water,p_sw_water,simstrat.par,1,0.5,1.5,0.1,2,1.04,0.02,unitless,Simstrat
